Ano de eleição,Cargo,Coligação,Cor/raça,Detalhe da situação de candidatura,Estado civil,Faixa etária,Federação,Gênero,Grau de instrução,Município,Nacionalidade,Nome social,Ocupação,Reeleição,Região,Sigla partido,Situação de candidatura,Situação de totalização,Tipo eleição,Turno,UF,Quantidade de candidatos,Quantidade de candidatos eleitos,Quantidade de candidatos para o 2º turno,Quantidade de candidatos não eleitos,Quantidade de candidatos suplentes,Quantidade de candidatos não informados,Data de carga
1996,PREFEITO,UNIAO PARA O PROGRESSO DE BOCAINA,#NE,#NE,#NE,50 a 54 anos,,#NE,#NE,BOCAINA,#NE,N,#NE,#NE,NORDESTE,PSDB,#NE,NAO ELEITO,Eleição Ordinária,1,PI,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO PELA PRESERVACAO DE ITAINOPOLIS,#NE,#NE,#NE,21 a 24 anos,,#NE,#NE,ITAINOPOLIS,#NE,N,#NE,#NE,NORDESTE,PPB,#NE,ELEITO,Eleição Ordinária,1,PI,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO PELO DESENVOLVIMENTO DE VERA MENDES,#NE,#NE,#NE,50 a 54 anos,,#NE,#NE,VERA MENDES,#NE,N,#NE,#NE,NORDESTE,PPB,#NE,ELEITO,Eleição Ordinária,1,PI,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO PELO MUNICIPIO,#NE,#NE,#NE,35 a 39 anos,,#NE,#NE,PORTO,#NE,N,#NE,#NE,NORDESTE,PMDB,#NE,ELEITO,Eleição Ordinária,1,PI,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO PELO RECIFE,#NE,#NE,#NE,60 a 64 anos,,#NE,#NE,RECIFE,#NE,N,#NE,#NE,NORDESTE,PFL,#NE,ELEITO,Eleição Ordinária,1,PE,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO POPULAR,#NE,#NE,#NE,40 a 44 anos,,#NE,#NE,GUARIBAS,#NE,N,#NE,#NE,NORDESTE,PSDB,#NE,NAO ELEITO,Eleição Ordinária,1,PI,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO POPULAR,#NE,#NE,#NE,40 a 44 anos,,#NE,#NE,RIACHO FRIO,#NE,N,#NE,#NE,NORDESTE,PTB,#NE,ELEITO,Eleição Ordinária,1,PI,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO POPULAR,#NE,#NE,#NE,45 a 49 anos,,#NE,#NE,SANTA CRUZ DO PIAUI,#NE,N,#NE,#NE,NORDESTE,PTB,#NE,ELEITO,Eleição Ordinária,1,PI,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO POPULAR INHUMENSE,#NE,#NE,#NE,40 a 44 anos,,#NE,#NE,INHUMA,#NE,N,#NE,#NE,NORDESTE,PPB,#NE,NAO ELEITO,Eleição Ordinária,1,PI,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO POR PORTO ALEGRE,#NE,#NE,#NE,50 a 54 anos,,#NE,#NE,PORTO ALEGRE,#NE,N,#NE,#NE,SUL,PSDB,#NE,NAO ELEITO,Eleição Ordinária,1,RS,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO POR SAO LUIS,#NE,#NE,#NE,55 a 59 anos,,#NE,#NE,SAO LUIS,#NE,N,#NE,#NE,NORDESTE,PPB,#NE,2.O TURNO,Eleição Ordinária,1,MA,1.0,0.0,1.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO POR SAO LUIS,#NE,#NE,#NE,55 a 59 anos,,#NE,#NE,SAO LUIS,#NE,N,#NE,#NE,NORDESTE,PPB,#NE,NAO ELEITO,Eleição Ordinária,2,MA,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO PROGRESSISTA,#NE,#NE,#NE,40 a 44 anos,,#NE,#NE,SAO MIGUEL DO FIDALGO,#NE,N,#NE,#NE,NORDESTE,PMDB,#NE,NAO ELEITO,Eleição Ordinária,1,PI,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO PROGRESSISTA PALMEIRINA,#NE,#NE,#NE,35 a 39 anos,,#NE,#NE,PALMEIRA DO PIAUI,#NE,N,#NE,#NE,NORDESTE,PDT,#NE,#NULO#,Eleição Ordinária,1,PI,1.0,0.0,0.0,0.0,0.0,1.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO SOCIAL POPULAR,#NE,#NE,#NE,35 a 39 anos,,#NE,#NE,PORTO ALEGRE,#NE,N,#NE,#NE,SUL,PST,#NE,NAO ELEITO,Eleição Ordinária,1,RS,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO TRABALHO E PROGRESSO,#NE,#NE,#NE,35 a 39 anos,,#NE,#NE,INHUMA,#NE,N,#NE,#NE,NORDESTE,PFL,#NE,ELEITO,Eleição Ordinária,1,PI,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIAO VITORIA E PROGRESSO,#NE,#NE,#NE,40 a 44 anos,,#NE,#NE,ABADIA DE GOIAS,#NE,N,#NE,#NE,CENTRO-OESTE,PMDB,#NE,ELEITO,Eleição Ordinária,1,GO,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIDADE POPULAR,#NE,#NE,#NE,35 a 39 anos,,#NE,#NE,PORTO ALEGRE,#NE,N,#NE,#NE,SUL,PDT,#NE,NAO ELEITO,Eleição Ordinária,1,RS,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIDADE POPULAR,#NE,#NE,#NE,50 a 54 anos,,#NE,#NE,NATAL,#NE,N,#NE,#NE,NORDESTE,PSDB,#NE,NAO ELEITO,Eleição Ordinária,1,RN,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIDOS A FAVOR,#NE,#NE,#NE,45 a 49 anos,,#NE,#NE,NOVO SANTO ANTONIO,#NE,N,#NE,#NE,NORDESTE,PMDB,#NE,NAO ELEITO,Eleição Ordinária,1,PI,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIDOS COM O POVO PARA RECONSTRUIR DE NOVO,#NE,#NE,#NE,65 a 69 anos,,#NE,#NE,NAZARE DO PIAUI,#NE,N,#NE,#NE,NORDESTE,PSDB,#NE,NAO ELEITO,Eleição Ordinária,1,PI,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIDOS PARA CONSTRUIR,#NE,#NE,#NE,75 a 79 anos,,#NE,#NE,SAO JOAO DO ARRAIAL,#NE,N,#NE,#NE,NORDESTE,PFL,#NE,ELEITO,Eleição Ordinária,1,PI,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,UNIDOS PARA MUDAR,#NE,#NE,#NE,30 a 34 anos,,#NE,#NE,MATIAS OLIMPIO,#NE,N,#NE,#NE,NORDESTE,PPB,#NE,NAO ELEITO,Eleição Ordinária,1,PI,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
